,Measure,Value,Tuning
0,Precision,0.8602150537634409,Basic Decision Tree
1,Recall,0.8648648648648649,Basic Decision Tree
2,Accuracy,0.9633883704235463,Basic Decision Tree
3,F1Score,0.8625336927223719,Basic Decision Tree
4,Precision,0.9010989010989011,Custom Decision Tree
5,Recall,0.8864864864864865,Custom Decision Tree
6,Accuracy,0.9720028715003589,Custom Decision Tree
7,F1Score,0.8937329700272478,Custom Decision Tree
8,Precision,0.8563829787234043,Basic Decision Tree
9,Recall,0.8702702702702703,Basic Decision Tree
10,Accuracy,0.9633883704235463,Basic Decision Tree
11,F1Score,0.8632707774798928,Basic Decision Tree
12,Precision,0.9585798816568047,Custom Decision Tree
13,Recall,0.8756756756756757,Custom Decision Tree
14,Accuracy,0.9784637473079684,Custom Decision Tree
15,F1Score,0.9152542372881357,Custom Decision Tree
16,Precision,0.8804347826086957,Basic Decision Tree
17,Recall,0.8756756756756757,Basic Decision Tree
18,Accuracy,0.9676956209619526,Basic Decision Tree
19,F1Score,0.8780487804878049,Basic Decision Tree
20,Precision,0.9209039548022598,Custom Decision Tree
21,Recall,0.8810810810810811,Custom Decision Tree
22,Accuracy,0.9741564967695621,Custom Decision Tree
23,F1Score,0.9005524861878452,Custom Decision Tree
24,Precision,0.8412698412698413,Basic Decision Tree
25,Recall,0.8594594594594595,Basic Decision Tree
26,Accuracy,0.9597989949748744,Basic Decision Tree
27,F1Score,0.8502673796791443,Basic Decision Tree
28,Precision,0.9349112426035503,Custom Decision Tree
29,Recall,0.8540540540540541,Custom Decision Tree
30,Accuracy,0.9727207465900933,Custom Decision Tree
31,F1Score,0.8926553672316384,Custom Decision Tree
32,Precision,0.8586956521739131,Basic Decision Tree
33,Recall,0.8540540540540541,Basic Decision Tree
34,Accuracy,0.9619526202440776,Basic Decision Tree
35,F1Score,0.8563685636856369,Basic Decision Tree
36,Precision,0.9081081081081082,Custom Decision Tree
37,Recall,0.9081081081081082,Custom Decision Tree
38,Accuracy,0.9755922469490309,Custom Decision Tree
39,F1Score,0.9081081081081082,Custom Decision Tree
40,Precision,0.8534031413612565,Basic Decision Tree
41,Recall,0.8810810810810811,Basic Decision Tree
42,Accuracy,0.9641062455132807,Basic Decision Tree
43,F1Score,0.8670212765957447,Basic Decision Tree
44,Precision,0.8695652173913043,Custom Decision Tree
45,Recall,0.8648648648648649,Custom Decision Tree
46,Accuracy,0.964824120603015,Custom Decision Tree
47,F1Score,0.8672086720867209,Custom Decision Tree
48,Precision,0.8709677419354839,Basic Decision Tree
49,Recall,0.8756756756756757,Basic Decision Tree
50,Accuracy,0.9662598707824839,Basic Decision Tree
51,F1Score,0.8733153638814016,Basic Decision Tree
52,Precision,0.8950276243093923,Custom Decision Tree
53,Recall,0.8756756756756757,Custom Decision Tree
54,Accuracy,0.9698492462311558,Custom Decision Tree
55,F1Score,0.8852459016393444,Custom Decision Tree
56,Precision,0.8541666666666666,Basic Decision Tree
57,Recall,0.8864864864864865,Basic Decision Tree
58,Accuracy,0.964824120603015,Basic Decision Tree
59,F1Score,0.870026525198939,Basic Decision Tree
60,Precision,0.9239766081871345,Custom Decision Tree
61,Recall,0.8540540540540541,Custom Decision Tree
62,Accuracy,0.9712849964106246,Custom Decision Tree
63,F1Score,0.8876404494382022,Custom Decision Tree
64,Precision,0.8518518518518519,Basic Decision Tree
65,Recall,0.8702702702702703,Basic Decision Tree
66,Accuracy,0.9626704953338119,Basic Decision Tree
67,F1Score,0.8609625668449198,Basic Decision Tree
68,Precision,0.9005524861878453,Custom Decision Tree
69,Recall,0.8810810810810811,Custom Decision Tree
70,Accuracy,0.9712849964106246,Custom Decision Tree
71,F1Score,0.8907103825136612,Custom Decision Tree
72,Precision,0.8602150537634409,Basic Decision Tree
73,Recall,0.8648648648648649,Basic Decision Tree
74,Accuracy,0.9633883704235463,Basic Decision Tree
75,F1Score,0.8625336927223719,Basic Decision Tree
76,Precision,0.8852459016393442,Custom Decision Tree
77,Recall,0.8756756756756757,Custom Decision Tree
78,Accuracy,0.968413496051687,Custom Decision Tree
79,F1Score,0.8804347826086957,Custom Decision Tree
80,Precision,0.8473684210526315,Basic Decision Tree
81,Recall,0.8702702702702703,Basic Decision Tree
82,Accuracy,0.9619526202440776,Basic Decision Tree
83,F1Score,0.8586666666666666,Basic Decision Tree
84,Precision,0.873015873015873,Custom Decision Tree
85,Recall,0.8918918918918919,Custom Decision Tree
86,Accuracy,0.968413496051687,Custom Decision Tree
87,F1Score,0.8823529411764706,Custom Decision Tree
88,Precision,0.8541666666666666,Basic Decision Tree
89,Recall,0.8864864864864865,Basic Decision Tree
90,Accuracy,0.964824120603015,Basic Decision Tree
91,F1Score,0.870026525198939,Basic Decision Tree
92,Precision,0.9204545454545454,Custom Decision Tree
93,Recall,0.8756756756756757,Custom Decision Tree
94,Accuracy,0.9734386216798278,Custom Decision Tree
95,F1Score,0.8975069252077563,Custom Decision Tree
96,Precision,0.8315789473684211,Basic Decision Tree
97,Recall,0.8540540540540541,Basic Decision Tree
98,Accuracy,0.9576453697056713,Basic Decision Tree
99,F1Score,0.8426666666666667,Basic Decision Tree
100,Precision,0.873015873015873,Custom Decision Tree
101,Recall,0.8918918918918919,Custom Decision Tree
102,Accuracy,0.968413496051687,Custom Decision Tree
103,F1Score,0.8823529411764706,Custom Decision Tree
104,Precision,0.8638743455497382,Basic Decision Tree
105,Recall,0.8918918918918919,Basic Decision Tree
106,Accuracy,0.9669777458722182,Basic Decision Tree
107,F1Score,0.8776595744680851,Basic Decision Tree
108,Precision,0.9044943820224719,Custom Decision Tree
109,Recall,0.8702702702702703,Custom Decision Tree
110,Accuracy,0.9705671213208902,Custom Decision Tree
111,F1Score,0.8870523415977961,Custom Decision Tree
112,Precision,0.8617021276595744,Basic Decision Tree
113,Recall,0.8756756756756757,Basic Decision Tree
114,Accuracy,0.964824120603015,Basic Decision Tree
115,F1Score,0.8686327077747988,Basic Decision Tree
116,Precision,0.8950276243093923,Custom Decision Tree
117,Recall,0.8756756756756757,Custom Decision Tree
118,Accuracy,0.9698492462311558,Custom Decision Tree
119,F1Score,0.8852459016393444,Custom Decision Tree
120,Precision,0.8549222797927462,Basic Decision Tree
121,Recall,0.8918918918918919,Basic Decision Tree
122,Accuracy,0.9655419956927495,Basic Decision Tree
123,F1Score,0.8730158730158729,Basic Decision Tree
124,Precision,0.9005524861878453,Custom Decision Tree
125,Recall,0.8810810810810811,Custom Decision Tree
126,Accuracy,0.9712849964106246,Custom Decision Tree
127,F1Score,0.8907103825136612,Custom Decision Tree
128,Precision,0.8617021276595744,Basic Decision Tree
129,Recall,0.8756756756756757,Basic Decision Tree
130,Accuracy,0.964824120603015,Basic Decision Tree
131,F1Score,0.8686327077747988,Basic Decision Tree
132,Precision,0.8978494623655914,Custom Decision Tree
133,Recall,0.9027027027027027,Custom Decision Tree
134,Accuracy,0.9734386216798278,Custom Decision Tree
135,F1Score,0.9002695417789757,Custom Decision Tree
136,Precision,0.8497409326424871,Basic Decision Tree
137,Recall,0.8864864864864865,Basic Decision Tree
138,Accuracy,0.9641062455132807,Basic Decision Tree
139,F1Score,0.8677248677248677,Basic Decision Tree
140,Precision,0.8776595744680851,Custom Decision Tree
141,Recall,0.8918918918918919,Custom Decision Tree
142,Accuracy,0.9691313711414213,Custom Decision Tree
143,F1Score,0.8847184986595175,Custom Decision Tree
144,Precision,0.8556149732620321,Basic Decision Tree
145,Recall,0.8648648648648649,Basic Decision Tree
146,Accuracy,0.9626704953338119,Basic Decision Tree
147,F1Score,0.860215053763441,Basic Decision Tree
148,Precision,0.8350515463917526,Custom Decision Tree
149,Recall,0.8756756756756757,Custom Decision Tree
150,Accuracy,0.9605168700646087,Custom Decision Tree
151,F1Score,0.8548812664907652,Custom Decision Tree
152,Precision,0.8663101604278075,Basic Decision Tree
153,Recall,0.8756756756756757,Basic Decision Tree
154,Accuracy,0.9655419956927495,Basic Decision Tree
155,F1Score,0.8709677419354839,Basic Decision Tree
156,Precision,0.9034090909090909,Custom Decision Tree
157,Recall,0.8594594594594595,Custom Decision Tree
158,Accuracy,0.9691313711414213,Custom Decision Tree
159,F1Score,0.8808864265927977,Custom Decision Tree
