,Measure,Value,MaxLeafNodes
0,Accuracy,0.8786791098348887,2
1,F1Score,0.48318042813455664,2
2,Accuracy,0.9404163675520459,10
3,F1Score,0.7844155844155843,10
4,Accuracy,0.95908111988514,20
5,F1Score,0.841225626740947,20
6,Accuracy,0.9626704953338119,30
7,F1Score,0.8547486033519553,30
8,Accuracy,0.968413496051687,40
9,F1Score,0.8784530386740332,40
10,Accuracy,0.9669777458722182,50
11,F1Score,0.87292817679558,50
12,Accuracy,0.9626704953338119,60
13,F1Score,0.8609625668449198,60
14,Accuracy,0.9655419956927495,70
15,F1Score,0.8688524590163934,70
16,Accuracy,0.964824120603015,80
17,F1Score,0.8672086720867209,80
18,Accuracy,0.9626704953338119,90
19,F1Score,0.8631578947368422,90
20,Accuracy,0.9641062455132807,100
21,F1Score,0.8648648648648649,100
22,Accuracy,0.9612347451543432,110
23,F1Score,0.8556149732620321,110
24,Accuracy,0.9641062455132807,120
25,F1Score,0.8670212765957447,120
26,Accuracy,0.9655419956927495,130
27,F1Score,0.8723404255319149,130
28,Accuracy,0.9655419956927495,140
29,F1Score,0.8702702702702703,140
30,Accuracy,0.9633883704235463,150
31,F1Score,0.8647214854111406,150
32,Accuracy,0.9605168700646087,160
33,F1Score,0.8517520215633423,160
34,Accuracy,0.9612347451543432,170
35,F1Score,0.8571428571428572,170
36,Accuracy,0.9641062455132807,180
37,F1Score,0.8648648648648649,180
38,Accuracy,0.9576453697056713,190
39,F1Score,0.8426666666666667,190
40,Accuracy,0.9662598707824839,200
41,F1Score,0.872628726287263,200
42,Accuracy,0.9612347451543432,210
43,F1Score,0.8578947368421053,210
44,Accuracy,0.9669777458722182,220
45,F1Score,0.8763440860215054,220
46,Accuracy,0.9619526202440776,230
47,F1Score,0.8601583113456465,230
48,Accuracy,0.9669777458722182,240
49,F1Score,0.8756756756756757,240
50,Accuracy,0.964824120603015,250
51,F1Score,0.8679245283018868,250
52,Accuracy,0.9641062455132807,260
53,F1Score,0.8670212765957447,260
54,Accuracy,0.8786791098348887,2
55,F1Score,0.48318042813455664,2
56,Accuracy,0.9382627422828428,10
57,F1Score,0.7783505154639175,10
58,Accuracy,0.95908111988514,20
59,F1Score,0.8463611859838276,20
60,Accuracy,0.9633883704235463,30
61,F1Score,0.8571428571428571,30
62,Accuracy,0.9698492462311558,40
63,F1Score,0.8820224719101123,40
64,Accuracy,0.968413496051687,50
65,F1Score,0.8791208791208792,50
66,Accuracy,0.9626704953338119,60
67,F1Score,0.8586956521739131,60
68,Accuracy,0.964824120603015,70
69,F1Score,0.8693333333333333,70
70,Accuracy,0.964824120603015,80
71,F1Score,0.8679245283018868,80
72,Accuracy,0.9655419956927495,90
73,F1Score,0.8702702702702703,90
74,Accuracy,0.9612347451543432,100
75,F1Score,0.8556149732620321,100
76,Accuracy,0.9612347451543432,110
77,F1Score,0.8532608695652173,110
78,Accuracy,0.9612347451543432,120
79,F1Score,0.8586387434554974,120
80,Accuracy,0.9676956209619526,130
81,F1Score,0.88,130
82,Accuracy,0.9655419956927495,140
83,F1Score,0.8709677419354839,140
84,Accuracy,0.9626704953338119,150
85,F1Score,0.8624338624338624,150
86,Accuracy,0.968413496051687,160
87,F1Score,0.8810810810810811,160
88,Accuracy,0.9641062455132807,170
89,F1Score,0.8655913978494624,170
90,Accuracy,0.9641062455132807,180
91,F1Score,0.868421052631579,180
92,Accuracy,0.9597989949748744,190
93,F1Score,0.8526315789473685,190
94,Accuracy,0.9605168700646087,200
95,F1Score,0.8533333333333334,200
96,Accuracy,0.9676956209619526,210
97,F1Score,0.8787061994609164,210
98,Accuracy,0.9619526202440776,220
99,F1Score,0.8579088471849866,220
100,Accuracy,0.9641062455132807,230
101,F1Score,0.8663101604278075,230
102,Accuracy,0.964824120603015,240
103,F1Score,0.8664850136239781,240
104,Accuracy,0.9641062455132807,250
105,F1Score,0.8677248677248677,250
106,Accuracy,0.9662598707824839,260
107,F1Score,0.873994638069705,260
108,Accuracy,0.8786791098348887,2
109,F1Score,0.48318042813455664,2
110,Accuracy,0.9382627422828428,10
111,F1Score,0.7783505154639175,10
112,Accuracy,0.9597989949748744,20
113,F1Score,0.849462365591398,20
114,Accuracy,0.964824120603015,30
115,F1Score,0.8635097493036211,30
116,Accuracy,0.9662598707824839,40
117,F1Score,0.8705234159779616,40
118,Accuracy,0.9691313711414213,50
119,F1Score,0.8802228412256268,50
120,Accuracy,0.9655419956927495,60
121,F1Score,0.8709677419354839,60
122,Accuracy,0.9633883704235463,70
123,F1Score,0.8647214854111406,70
124,Accuracy,0.9569274946159368,80
125,F1Score,0.8412698412698413,80
126,Accuracy,0.9633883704235463,90
127,F1Score,0.8640000000000001,90
128,Accuracy,0.9619526202440776,100
129,F1Score,0.8601583113456465,100
130,Accuracy,0.9576453697056713,110
131,F1Score,0.8426666666666667,110
132,Accuracy,0.9612347451543432,120
133,F1Score,0.8571428571428572,120
134,Accuracy,0.9633883704235463,130
135,F1Score,0.8640000000000001,130
136,Accuracy,0.9669777458722182,140
137,F1Score,0.8756756756756757,140
138,Accuracy,0.9612347451543432,150
139,F1Score,0.8548387096774193,150
140,Accuracy,0.9612347451543432,160
141,F1Score,0.8524590163934427,160
142,Accuracy,0.9619526202440776,170
143,F1Score,0.8594164456233423,170
144,Accuracy,0.9633883704235463,180
145,F1Score,0.861788617886179,180
146,Accuracy,0.9669777458722182,190
147,F1Score,0.8756756756756757,190
148,Accuracy,0.95908111988514,200
149,F1Score,0.8488063660477454,200
150,Accuracy,0.9626704953338119,210
151,F1Score,0.860215053763441,210
152,Accuracy,0.9655419956927495,220
153,F1Score,0.8709677419354839,220
154,Accuracy,0.9633883704235463,230
155,F1Score,0.8632707774798928,230
156,Accuracy,0.9655419956927495,240
157,F1Score,0.8723404255319149,240
158,Accuracy,0.968413496051687,250
159,F1Score,0.8810810810810811,250
160,Accuracy,0.964824120603015,260
161,F1Score,0.8672086720867209,260
162,Accuracy,0.8786791098348887,2
163,F1Score,0.48318042813455664,2
164,Accuracy,0.9404163675520459,10
165,F1Score,0.7844155844155843,10
166,Accuracy,0.9569274946159368,20
167,F1Score,0.8351648351648352,20
168,Accuracy,0.9612347451543432,30
169,F1Score,0.848314606741573,30
170,Accuracy,0.9676956209619526,40
171,F1Score,0.8760330578512396,40
172,Accuracy,0.9669777458722182,50
173,F1Score,0.87292817679558,50
174,Accuracy,0.9655419956927495,60
175,F1Score,0.8709677419354839,60
176,Accuracy,0.9662598707824839,70
177,F1Score,0.8733153638814016,70
178,Accuracy,0.9626704953338119,80
179,F1Score,0.8617021276595744,80
180,Accuracy,0.9662598707824839,90
181,F1Score,0.8746666666666667,90
182,Accuracy,0.9655419956927495,100
183,F1Score,0.8709677419354839,100
184,Accuracy,0.9626704953338119,110
185,F1Score,0.8617021276595744,110
186,Accuracy,0.9641062455132807,120
187,F1Score,0.8670212765957447,120
188,Accuracy,0.964824120603015,130
189,F1Score,0.8679245283018868,130
190,Accuracy,0.9641062455132807,140
191,F1Score,0.8655913978494624,140
192,Accuracy,0.9655419956927495,150
193,F1Score,0.8716577540106951,150
194,Accuracy,0.9669777458722182,160
195,F1Score,0.8756756756756757,160
196,Accuracy,0.9597989949748744,170
197,F1Score,0.8478260869565218,170
198,Accuracy,0.9605168700646087,180
199,F1Score,0.8556430446194225,180
200,Accuracy,0.9669777458722182,190
201,F1Score,0.8770053475935828,190
202,Accuracy,0.964824120603015,200
203,F1Score,0.8686327077747988,200
204,Accuracy,0.9655419956927495,210
205,F1Score,0.8709677419354839,210
206,Accuracy,0.9641062455132807,220
207,F1Score,0.8677248677248677,220
208,Accuracy,0.9691313711414213,230
209,F1Score,0.8840970350404314,230
210,Accuracy,0.9612347451543432,240
211,F1Score,0.8578947368421053,240
212,Accuracy,0.9655419956927495,250
213,F1Score,0.8709677419354839,250
214,Accuracy,0.9633883704235463,260
215,F1Score,0.8647214854111406,260
216,Accuracy,0.8786791098348887,2
217,F1Score,0.48318042813455664,2
218,Accuracy,0.9382627422828428,10
219,F1Score,0.7783505154639175,10
220,Accuracy,0.9597989949748744,20
221,F1Score,0.8435754189944135,20
222,Accuracy,0.9626704953338119,30
223,F1Score,0.8547486033519553,30
224,Accuracy,0.9655419956927495,40
225,F1Score,0.8666666666666667,40
226,Accuracy,0.9705671213208902,50
227,F1Score,0.8864265927977839,50
228,Accuracy,0.9633883704235463,60
229,F1Score,0.8610354223433242,60
230,Accuracy,0.964824120603015,70
231,F1Score,0.8672086720867209,70
232,Accuracy,0.9633883704235463,80
233,F1Score,0.8625336927223719,80
234,Accuracy,0.9669777458722182,90
235,F1Score,0.8770053475935828,90
236,Accuracy,0.9676956209619526,100
237,F1Score,0.8787061994609164,100
238,Accuracy,0.9655419956927495,110
239,F1Score,0.8716577540106951,110
240,Accuracy,0.9619526202440776,120
241,F1Score,0.8601583113456465,120
242,Accuracy,0.9662598707824839,130
243,F1Score,0.8733153638814016,130
244,Accuracy,0.9698492462311558,140
245,F1Score,0.8864864864864865,140
246,Accuracy,0.9669777458722182,150
247,F1Score,0.8776595744680851,150
248,Accuracy,0.9641062455132807,160
249,F1Score,0.8626373626373626,160
250,Accuracy,0.9655419956927495,170
251,F1Score,0.8736842105263158,170
252,Accuracy,0.9641062455132807,180
253,F1Score,0.8677248677248677,180
254,Accuracy,0.9669777458722182,190
255,F1Score,0.8776595744680851,190
256,Accuracy,0.9662598707824839,200
257,F1Score,0.8753315649867375,200
258,Accuracy,0.9626704953338119,210
259,F1Score,0.8638743455497383,210
260,Accuracy,0.964824120603015,220
261,F1Score,0.8693333333333333,220
262,Accuracy,0.9662598707824839,230
263,F1Score,0.8746666666666667,230
264,Accuracy,0.9641062455132807,240
265,F1Score,0.8648648648648649,240
266,Accuracy,0.9669777458722182,250
267,F1Score,0.8756756756756757,250
268,Accuracy,0.9669777458722182,260
269,F1Score,0.8763440860215054,260
