,Measure,Value,MinSampleSplit
0,Accuracy,0.9633883704235463,MinSampleSplit-2
1,F1Score,0.8625336927223719,MinSampleSplit-2
2,Accuracy,0.9669777458722182,MinSampleSplit-10
3,F1Score,0.8763440860215054,MinSampleSplit-10
4,Accuracy,0.9655419956927495,MinSampleSplit-25
5,F1Score,0.8688524590163934,MinSampleSplit-25
6,Accuracy,0.9669777458722182,MinSampleSplit-50
7,F1Score,0.8722222222222223,MinSampleSplit-50
8,Accuracy,0.9519023689877961,MinSampleSplit-100
9,F1Score,0.8295165394402035,MinSampleSplit-100
10,Accuracy,0.9483129935391242,MinSampleSplit-250
11,F1Score,0.8181818181818182,MinSampleSplit-250
12,Accuracy,0.9655419956927495,MinSampleSplit-2
13,F1Score,0.8723404255319149,MinSampleSplit-2
14,Accuracy,0.9641062455132807,MinSampleSplit-10
15,F1Score,0.8677248677248677,MinSampleSplit-10
16,Accuracy,0.9655419956927495,MinSampleSplit-25
17,F1Score,0.8666666666666667,MinSampleSplit-25
18,Accuracy,0.964824120603015,MinSampleSplit-50
19,F1Score,0.8664850136239781,MinSampleSplit-50
20,Accuracy,0.9454414931801867,MinSampleSplit-100
21,F1Score,0.8080808080808082,MinSampleSplit-100
22,Accuracy,0.9504666188083274,MinSampleSplit-250
23,F1Score,0.8244274809160306,MinSampleSplit-250
24,Accuracy,0.95908111988514,MinSampleSplit-2
25,F1Score,0.8503937007874017,MinSampleSplit-2
26,Accuracy,0.9676956209619526,MinSampleSplit-10
27,F1Score,0.8787061994609164,MinSampleSplit-10
28,Accuracy,0.9641062455132807,MinSampleSplit-25
29,F1Score,0.8641304347826086,MinSampleSplit-25
30,Accuracy,0.9698492462311558,MinSampleSplit-50
31,F1Score,0.8833333333333334,MinSampleSplit-50
32,Accuracy,0.9447236180904522,MinSampleSplit-100
33,F1Score,0.8050632911392405,MinSampleSplit-100
34,Accuracy,0.9468772433596554,MinSampleSplit-250
35,F1Score,0.815,MinSampleSplit-250
36,Accuracy,0.964824120603015,MinSampleSplit-2
37,F1Score,0.8693333333333333,MinSampleSplit-2
38,Accuracy,0.9669777458722182,MinSampleSplit-10
39,F1Score,0.8756756756756757,MinSampleSplit-10
40,Accuracy,0.9641062455132807,MinSampleSplit-25
41,F1Score,0.8641304347826086,MinSampleSplit-25
42,Accuracy,0.9633883704235463,MinSampleSplit-50
43,F1Score,0.859504132231405,MinSampleSplit-50
44,Accuracy,0.9504666188083274,MinSampleSplit-100
45,F1Score,0.823529411764706,MinSampleSplit-100
46,Accuracy,0.9504666188083274,MinSampleSplit-250
47,F1Score,0.8253164556962025,MinSampleSplit-250
48,Accuracy,0.9641062455132807,MinSampleSplit-2
49,F1Score,0.8648648648648649,MinSampleSplit-2
50,Accuracy,0.9676956209619526,MinSampleSplit-10
51,F1Score,0.8787061994609164,MinSampleSplit-10
52,Accuracy,0.9662598707824839,MinSampleSplit-25
53,F1Score,0.8705234159779616,MinSampleSplit-25
54,Accuracy,0.9662598707824839,MinSampleSplit-50
55,F1Score,0.8698060941828255,MinSampleSplit-50
56,Accuracy,0.9504666188083274,MinSampleSplit-100
57,F1Score,0.823529411764706,MinSampleSplit-100
58,Accuracy,0.949748743718593,MinSampleSplit-250
59,F1Score,0.8258706467661691,MinSampleSplit-250
60,Accuracy,0.9641062455132807,MinSampleSplit-2
61,F1Score,0.8655913978494624,MinSampleSplit-2
62,Accuracy,0.9676956209619526,MinSampleSplit-10
63,F1Score,0.88,MinSampleSplit-10
64,Accuracy,0.9619526202440776,MinSampleSplit-25
65,F1Score,0.8547945205479452,MinSampleSplit-25
66,Accuracy,0.9655419956927495,MinSampleSplit-50
67,F1Score,0.8702702702702703,MinSampleSplit-50
68,Accuracy,0.9475951184493898,MinSampleSplit-100
69,F1Score,0.8170426065162908,MinSampleSplit-100
70,Accuracy,0.9526202440775305,MinSampleSplit-250
71,F1Score,0.8341708542713568,MinSampleSplit-250
72,Accuracy,0.9641062455132807,MinSampleSplit-2
73,F1Score,0.8663101604278075,MinSampleSplit-2
74,Accuracy,0.9633883704235463,MinSampleSplit-10
75,F1Score,0.8640000000000001,MinSampleSplit-10
76,Accuracy,0.9655419956927495,MinSampleSplit-25
77,F1Score,0.8681318681318682,MinSampleSplit-25
78,Accuracy,0.9691313711414213,MinSampleSplit-50
79,F1Score,0.8808864265927977,MinSampleSplit-50
80,Accuracy,0.9504666188083274,MinSampleSplit-100
81,F1Score,0.8244274809160306,MinSampleSplit-100
82,Accuracy,0.9511844938980617,MinSampleSplit-250
83,F1Score,0.8282828282828284,MinSampleSplit-250
84,Accuracy,0.9669777458722182,MinSampleSplit-2
85,F1Score,0.8783068783068783,MinSampleSplit-2
86,Accuracy,0.964824120603015,MinSampleSplit-10
87,F1Score,0.8679245283018868,MinSampleSplit-10
88,Accuracy,0.9641062455132807,MinSampleSplit-25
89,F1Score,0.861878453038674,MinSampleSplit-25
90,Accuracy,0.9626704953338119,MinSampleSplit-50
91,F1Score,0.8579234972677595,MinSampleSplit-50
92,Accuracy,0.9468772433596554,MinSampleSplit-100
93,F1Score,0.809278350515464,MinSampleSplit-100
94,Accuracy,0.9504666188083274,MinSampleSplit-250
95,F1Score,0.8261964735516373,MinSampleSplit-250
96,Accuracy,0.9662598707824839,MinSampleSplit-2
97,F1Score,0.873994638069705,MinSampleSplit-2
98,Accuracy,0.9597989949748744,MinSampleSplit-10
99,F1Score,0.851851851851852,MinSampleSplit-10
100,Accuracy,0.964824120603015,MinSampleSplit-25
101,F1Score,0.8664850136239781,MinSampleSplit-25
102,Accuracy,0.968413496051687,MinSampleSplit-50
103,F1Score,0.8777777777777779,MinSampleSplit-50
104,Accuracy,0.9490308686288585,MinSampleSplit-100
105,F1Score,0.8174807197943444,MinSampleSplit-100
106,Accuracy,0.9526202440775305,MinSampleSplit-250
107,F1Score,0.8333333333333334,MinSampleSplit-250
108,Accuracy,0.9612347451543432,MinSampleSplit-2
109,F1Score,0.8563829787234043,MinSampleSplit-2
110,Accuracy,0.9633883704235463,MinSampleSplit-10
111,F1Score,0.8610354223433242,MinSampleSplit-10
112,Accuracy,0.9612347451543432,MinSampleSplit-25
113,F1Score,0.8532608695652173,MinSampleSplit-25
114,Accuracy,0.9698492462311558,MinSampleSplit-50
115,F1Score,0.8833333333333334,MinSampleSplit-50
116,Accuracy,0.9475951184493898,MinSampleSplit-100
117,F1Score,0.8132992327365729,MinSampleSplit-100
118,Accuracy,0.9511844938980617,MinSampleSplit-250
119,F1Score,0.8274111675126904,MinSampleSplit-250
120,Accuracy,0.9626704953338119,MinSampleSplit-2
121,F1Score,0.8624338624338624,MinSampleSplit-2
122,Accuracy,0.9626704953338119,MinSampleSplit-10
123,F1Score,0.860215053763441,MinSampleSplit-10
124,Accuracy,0.9619526202440776,MinSampleSplit-25
125,F1Score,0.8531855955678671,MinSampleSplit-25
126,Accuracy,0.9669777458722182,MinSampleSplit-50
127,F1Score,0.87292817679558,MinSampleSplit-50
128,Accuracy,0.9490308686288585,MinSampleSplit-100
129,F1Score,0.8193384223918574,MinSampleSplit-100
130,Accuracy,0.9504666188083274,MinSampleSplit-250
131,F1Score,0.8270676691729324,MinSampleSplit-250
132,Accuracy,0.9619526202440776,MinSampleSplit-2
133,F1Score,0.8616187989556137,MinSampleSplit-2
134,Accuracy,0.9662598707824839,MinSampleSplit-10
135,F1Score,0.8733153638814016,MinSampleSplit-10
136,Accuracy,0.9662598707824839,MinSampleSplit-25
137,F1Score,0.8712328767123287,MinSampleSplit-25
138,Accuracy,0.9705671213208902,MinSampleSplit-50
139,F1Score,0.8857938718662953,MinSampleSplit-50
140,Accuracy,0.9504666188083274,MinSampleSplit-100
141,F1Score,0.8244274809160306,MinSampleSplit-100
142,Accuracy,0.9519023689877961,MinSampleSplit-250
143,F1Score,0.830379746835443,MinSampleSplit-250
144,Accuracy,0.9655419956927495,MinSampleSplit-2
145,F1Score,0.8716577540106951,MinSampleSplit-2
146,Accuracy,0.9655419956927495,MinSampleSplit-10
147,F1Score,0.8688524590163934,MinSampleSplit-10
148,Accuracy,0.9641062455132807,MinSampleSplit-25
149,F1Score,0.8633879781420766,MinSampleSplit-25
150,Accuracy,0.9655419956927495,MinSampleSplit-50
151,F1Score,0.8688524590163934,MinSampleSplit-50
152,Accuracy,0.9490308686288585,MinSampleSplit-100
153,F1Score,0.8174807197943444,MinSampleSplit-100
154,Accuracy,0.9461593682699211,MinSampleSplit-250
155,F1Score,0.8129675810473816,MinSampleSplit-250
156,Accuracy,0.9626704953338119,MinSampleSplit-2
157,F1Score,0.860215053763441,MinSampleSplit-2
158,Accuracy,0.9619526202440776,MinSampleSplit-10
159,F1Score,0.8586666666666666,MinSampleSplit-10
160,Accuracy,0.9619526202440776,MinSampleSplit-25
161,F1Score,0.8579088471849866,MinSampleSplit-25
162,Accuracy,0.9662598707824839,MinSampleSplit-50
163,F1Score,0.8690807799442897,MinSampleSplit-50
164,Accuracy,0.9483129935391242,MinSampleSplit-100
165,F1Score,0.8144329896907216,MinSampleSplit-100
166,Accuracy,0.9526202440775305,MinSampleSplit-250
167,F1Score,0.8333333333333334,MinSampleSplit-250
168,Accuracy,0.9641062455132807,MinSampleSplit-2
169,F1Score,0.8633879781420766,MinSampleSplit-2
170,Accuracy,0.9619526202440776,MinSampleSplit-10
171,F1Score,0.8555858310626703,MinSampleSplit-10
172,Accuracy,0.9619526202440776,MinSampleSplit-25
173,F1Score,0.8531855955678671,MinSampleSplit-25
174,Accuracy,0.9662598707824839,MinSampleSplit-50
175,F1Score,0.872628726287263,MinSampleSplit-50
176,Accuracy,0.949748743718593,MinSampleSplit-100
177,F1Score,0.8205128205128206,MinSampleSplit-100
178,Accuracy,0.949748743718593,MinSampleSplit-250
179,F1Score,0.8232323232323233,MinSampleSplit-250
180,Accuracy,0.9655419956927495,MinSampleSplit-2
181,F1Score,0.8709677419354839,MinSampleSplit-2
182,Accuracy,0.9655419956927495,MinSampleSplit-10
183,F1Score,0.8695652173913042,MinSampleSplit-10
184,Accuracy,0.9655419956927495,MinSampleSplit-25
185,F1Score,0.8666666666666667,MinSampleSplit-25
186,Accuracy,0.964824120603015,MinSampleSplit-50
187,F1Score,0.8657534246575342,MinSampleSplit-50
188,Accuracy,0.9490308686288585,MinSampleSplit-100
189,F1Score,0.8184143222506394,MinSampleSplit-100
190,Accuracy,0.9454414931801867,MinSampleSplit-250
191,F1Score,0.8109452736318408,MinSampleSplit-250
192,Accuracy,0.9676956209619526,MinSampleSplit-2
193,F1Score,0.8780487804878049,MinSampleSplit-2
194,Accuracy,0.968413496051687,MinSampleSplit-10
195,F1Score,0.8804347826086957,MinSampleSplit-10
196,Accuracy,0.9655419956927495,MinSampleSplit-25
197,F1Score,0.8681318681318682,MinSampleSplit-25
198,Accuracy,0.968413496051687,MinSampleSplit-50
199,F1Score,0.8784530386740332,MinSampleSplit-50
200,Accuracy,0.9475951184493898,MinSampleSplit-100
201,F1Score,0.8123393316195374,MinSampleSplit-100
202,Accuracy,0.9447236180904522,MinSampleSplit-250
203,F1Score,0.8098765432098766,MinSampleSplit-250
204,Accuracy,0.9619526202440776,MinSampleSplit-2
205,F1Score,0.8586666666666666,MinSampleSplit-2
206,Accuracy,0.9655419956927495,MinSampleSplit-10
207,F1Score,0.8702702702702703,MinSampleSplit-10
208,Accuracy,0.9612347451543432,MinSampleSplit-25
209,F1Score,0.8524590163934427,MinSampleSplit-25
210,Accuracy,0.9676956209619526,MinSampleSplit-50
211,F1Score,0.8746518105849582,MinSampleSplit-50
212,Accuracy,0.9504666188083274,MinSampleSplit-100
213,F1Score,0.823529411764706,MinSampleSplit-100
214,Accuracy,0.9519023689877961,MinSampleSplit-250
215,F1Score,0.8312342569269521,MinSampleSplit-250
216,Accuracy,0.9655419956927495,MinSampleSplit-2
217,F1Score,0.8716577540106951,MinSampleSplit-2
218,Accuracy,0.9676956209619526,MinSampleSplit-10
219,F1Score,0.88,MinSampleSplit-10
220,Accuracy,0.9641062455132807,MinSampleSplit-25
221,F1Score,0.8626373626373626,MinSampleSplit-25
222,Accuracy,0.9698492462311558,MinSampleSplit-50
223,F1Score,0.8833333333333334,MinSampleSplit-50
224,Accuracy,0.9490308686288585,MinSampleSplit-100
225,F1Score,0.8184143222506394,MinSampleSplit-100
226,Accuracy,0.9454414931801867,MinSampleSplit-250
227,F1Score,0.8099999999999999,MinSampleSplit-250
228,Accuracy,0.964824120603015,MinSampleSplit-2
229,F1Score,0.8679245283018868,MinSampleSplit-2
230,Accuracy,0.9641062455132807,MinSampleSplit-10
231,F1Score,0.8677248677248677,MinSampleSplit-10
232,Accuracy,0.9669777458722182,MinSampleSplit-25
233,F1Score,0.8736263736263735,MinSampleSplit-25
234,Accuracy,0.964824120603015,MinSampleSplit-50
235,F1Score,0.8650137741046833,MinSampleSplit-50
236,Accuracy,0.9504666188083274,MinSampleSplit-100
237,F1Score,0.8226221079691517,MinSampleSplit-100
238,Accuracy,0.9475951184493898,MinSampleSplit-250
239,F1Score,0.8142493638676845,MinSampleSplit-250
